State name,CATEGORY,Count
JAMMU AND KASHMIR,Male,6640662
HIMACHAL PRADESH,Male,3481873
PUNJAB,Male,14639465
UTTARAKHAND,Male,5718436
HARYANA,Male,13494734
RAJASTHAN,Male,35550997
UTTAR PRADESH,Male,104480510
BIHAR,Male,54278157
SIKKIM,Male,323070
ARUNACHAL PRADESH,Male,713912
NAGALAND,Male,1024649
MANIPUR,Male,1438586
MIZORAM,Male,555339
TRIPURA,Male,1874376
MEGHALAYA,Male,1491832
ASSAM,Male,15939443
WEST BENGAL,Male,46809027
JHARKHAND,Male,16930315
ORISSA,Male,21212136
CHHATTISGARH,Male,12832895
MADHYA PRADESH,Male,37612306
GUJARAT,Male,31491260
MAHARASHTRA,Male,58243056
ANDHRA PRADESH,Male,42442146
KARNATAKA,Male,30966657
KERALA,Male,16027412
TAMIL NADU,Male,36137975
ANDAMAN AND NICOBAR ISLANDS,Male,202871
NCT OF DELHI,Male,8987326
DADRA AND NAGAR HAVELI,Male,344061
GOA,Male,739140
PONDICHERRY,Male,612511
JAMMU AND KASHMIR,Female,5900640
HIMACHAL PRADESH,Female,3382729
PUNJAB,Female,13103873
UTTARAKHAND,Female,5423306
HARYANA,Female,11856728
RAJASTHAN,Female,32997440
UTTAR PRADESH,Female,95331831
BIHAR,Female,49821295
SIKKIM,Female,287507
ARUNACHAL PRADESH,Female,669815
NAGALAND,Female,953853
MANIPUR,Female,1417208
MIZORAM,Female,541867
TRIPURA,Female,1799541
MEGHALAYA,Female,1475057
ASSAM,Female,15266133
WEST BENGAL,Female,44467088
JHARKHAND,Female,16057819
ORISSA,Female,20762082
CHHATTISGARH,Female,12712303
MADHYA PRADESH,Female,35014503
GUJARAT,Female,28948432
MAHARASHTRA,Female,54131277
ANDHRA PRADESH,Female,42138631
KARNATAKA,Female,30128640
KERALA,Female,17378649
TAMIL NADU,Female,36009055
ANDAMAN AND NICOBAR ISLANDS,Female,177710
NCT OF DELHI,Female,7800615
DADRA AND NAGAR HAVELI,Female,242895
GOA,Female,719405
PONDICHERRY,Female,635442
JAMMU AND KASHMIR,Literate,7067233
HIMACHAL PRADESH,Literate,5039736
PUNJAB,Literate,18707137
UTTARAKHAND,Literate,7686391
HARYANA,Literate,16598988
RAJASTHAN,Literate,38275282
UTTAR PRADESH,Literate,114397555
BIHAR,Literate,52504553
SIKKIM,Literate,444952
ARUNACHAL PRADESH,Literate,766005
NAGALAND,Literate,1342434
MANIPUR,Literate,1908476
MIZORAM,Literate,848175
TRIPURA,Literate,2804783
MEGHALAYA,Literate,1785005
ASSAM,Literate,19177977
WEST BENGAL,Literate,61538281
JHARKHAND,Literate,18328069
ORISSA,Literate,26742595
CHHATTISGARH,Literate,15379922
MADHYA PRADESH,Literate,42851169
GUJARAT,Literate,41093358
MAHARASHTRA,Literate,81554290
ANDHRA PRADESH,Literate,50556760
KARNATAKA,Literate,40647322
KERALA,Literate,28135824
TAMIL NADU,Literate,51837507
ANDAMAN AND NICOBAR ISLANDS,Literate,294281
NCT OF DELHI,Literate,12737767
DADRA AND NAGAR HAVELI,Literate,411636
GOA,Literate,1165487
PONDICHERRY,Literate,957309
JAMMU AND KASHMIR,Male_Literate,4264671
HIMACHAL PRADESH,Male_Literate,2752590
PUNJAB,Male_Literate,10436056
UTTARAKHAND,Male_Literate,4329054
HARYANA,Male_Literate,9794067
RAJASTHAN,Male_Literate,23688412
UTTAR PRADESH,Male_Literate,68234964
BIHAR,Male_Literate,31608023
SIKKIM,Male_Literate,251269
ARUNACHAL PRADESH,Male_Literate,439868
NAGALAND,Male_Literate,723957
MANIPUR,Male_Literate,1039858
MIZORAM,Male_Literate,438529
TRIPURA,Male_Literate,1501369
MEGHALAYA,Male_Literate,913879
ASSAM,Male_Literate,10568639
WEST BENGAL,Male_Literate,33818810
JHARKHAND,Male_Literate,10882519
ORISSA,Male_Literate,15089681
CHHATTISGARH,Male_Literate,8807893
MADHYA PRADESH,Male_Literate,25174328
GUJARAT,Male_Literate,23474873
MAHARASHTRA,Male_Literate,45257584
ANDHRA PRADESH,Male_Literate,28251243
KARNATAKA,Male_Literate,22508471
KERALA,Male_Literate,13704903
TAMIL NADU,Male_Literate,28040491
ANDAMAN AND NICOBAR ISLANDS,Male_Literate,164377
NCT OF DELHI,Male_Literate,7194856
DADRA AND NAGAR HAVELI,Male_Literate,267164
GOA,Male_Literate,615823
PONDICHERRY,Male_Literate,497378
JAMMU AND KASHMIR,Female_Literate,2802562
HIMACHAL PRADESH,Female_Literate,2287146
PUNJAB,Female_Literate,8271081
UTTARAKHAND,Female_Literate,3357337
HARYANA,Female_Literate,6804921
RAJASTHAN,Female_Literate,14586870
UTTAR PRADESH,Female_Literate,46162591
BIHAR,Female_Literate,20896530
SIKKIM,Female_Literate,193683
ARUNACHAL PRADESH,Female_Literate,326137
NAGALAND,Female_Literate,618477
MANIPUR,Female_Literate,868618
MIZORAM,Female_Literate,409646
TRIPURA,Female_Literate,1303414
MEGHALAYA,Female_Literate,871126
ASSAM,Female_Literate,8609338
WEST BENGAL,Female_Literate,27719471
JHARKHAND,Female_Literate,7445550
ORISSA,Female_Literate,11652914
CHHATTISGARH,Female_Literate,6572029
MADHYA PRADESH,Female_Literate,17676841
GUJARAT,Female_Literate,17618485
MAHARASHTRA,Female_Literate,36296706
ANDHRA PRADESH,Female_Literate,22305517
KARNATAKA,Female_Literate,18138851
KERALA,Female_Literate,14430921
TAMIL NADU,Female_Literate,23797016
ANDAMAN AND NICOBAR ISLANDS,Female_Literate,129904
NCT OF DELHI,Female_Literate,5542911
DADRA AND NAGAR HAVELI,Female_Literate,144472
GOA,Female_Literate,549664
PONDICHERRY,Female_Literate,459931
JAMMU AND KASHMIR,Workers,4322713
HIMACHAL PRADESH,Workers,3559422
PUNJAB,Workers,9897362
UTTARAKHAND,Workers,4276411
HARYANA,Workers,8916508
RAJASTHAN,Workers,29886255
UTTAR PRADESH,Workers,65814715
BIHAR,Workers,34724987
SIKKIM,Workers,308138
ARUNACHAL PRADESH,Workers,587657
NAGALAND,Workers,974122
MANIPUR,Workers,1304610
MIZORAM,Workers,486705
TRIPURA,Workers,1469521
MEGHALAYA,Workers,1185619
ASSAM,Workers,11969690
WEST BENGAL,Workers,34756355
JHARKHAND,Workers,13098274
ORISSA,Workers,17541589
CHHATTISGARH,Workers,12180225
MADHYA PRADESH,Workers,31574133
GUJARAT,Workers,24767747
MAHARASHTRA,Workers,49427878
ANDHRA PRADESH,Workers,39422906
KARNATAKA,Workers,27872597
KERALA,Workers,11619063
TAMIL NADU,Workers,32884681
ANDAMAN AND NICOBAR ISLANDS,Workers,152535
NCT OF DELHI,Workers,5587049
DADRA AND NAGAR HAVELI,Workers,278432
GOA,Workers,577248
PONDICHERRY,Workers,444968
JAMMU AND KASHMIR,Male_Workers,3195090
HIMACHAL PRADESH,Male_Workers,2043373
PUNJAB,Male_Workers,8074157
UTTARAKHAND,Male_Workers,2880080
HARYANA,Male_Workers,6806636
RAJASTHAN,Male_Workers,18297076
UTTAR PRADESH,Male_Workers,49846762
BIHAR,Male_Workers,25222189
SIKKIM,Male_Workers,194358
ARUNACHAL PRADESH,Male_Workers,350273
NAGALAND,Male_Workers,547357
MANIPUR,Male_Workers,739408
MIZORAM,Male_Workers,290740
TRIPURA,Male_Workers,1045326
MEGHALAYA,Male_Workers,703709
ASSAM,Male_Workers,8541560
WEST BENGAL,Male_Workers,26716047
JHARKHAND,Male_Workers,8424769
ORISSA,Male_Workers,11902655
CHHATTISGARH,Male_Workers,7133866
MADHYA PRADESH,Male_Workers,20146970
GUJARAT,Male_Workers,18000914
MAHARASHTRA,Male_Workers,32616875
ANDHRA PRADESH,Male_Workers,24185595
KARNATAKA,Male_Workers,18270116
KERALA,Male_Workers,8451569
TAMIL NADU,Male_Workers,21434978
ANDAMAN AND NICOBAR ISLANDS,Male_Workers,120889
NCT OF DELHI,Male_Workers,4762026
DADRA AND NAGAR HAVELI,Male_Workers,226727
GOA,Male_Workers,419536
PONDICHERRY,Male_Workers,332931
JAMMU AND KASHMIR,Female_Workers,1127623
HIMACHAL PRADESH,Female_Workers,1516049
PUNJAB,Female_Workers,1823205
UTTARAKHAND,Female_Workers,1396331
HARYANA,Female_Workers,2109872
RAJASTHAN,Female_Workers,11589179
UTTAR PRADESH,Female_Workers,15967953
BIHAR,Female_Workers,9502798
SIKKIM,Female_Workers,113780
ARUNACHAL PRADESH,Female_Workers,237384
NAGALAND,Female_Workers,426765
MANIPUR,Female_Workers,565202
MIZORAM,Female_Workers,195965
TRIPURA,Female_Workers,424195
MEGHALAYA,Female_Workers,481910
ASSAM,Female_Workers,3428130
WEST BENGAL,Female_Workers,8040308
JHARKHAND,Female_Workers,4673505
ORISSA,Female_Workers,5638934
CHHATTISGARH,Female_Workers,5046359
MADHYA PRADESH,Female_Workers,11427163
GUJARAT,Female_Workers,6766833
MAHARASHTRA,Female_Workers,16811003
ANDHRA PRADESH,Female_Workers,15237311
KARNATAKA,Female_Workers,9602481
KERALA,Female_Workers,3167494
TAMIL NADU,Female_Workers,11449703
ANDAMAN AND NICOBAR ISLANDS,Female_Workers,31646
NCT OF DELHI,Female_Workers,825023
DADRA AND NAGAR HAVELI,Female_Workers,51705
GOA,Female_Workers,157712
PONDICHERRY,Female_Workers,112037
JAMMU AND KASHMIR,Population,12541302
HIMACHAL PRADESH,Population,6864602
PUNJAB,Population,27743338
UTTARAKHAND,Population,11141742
HARYANA,Population,25351462
RAJASTHAN,Population,68548437
UTTAR PRADESH,Population,199812341
BIHAR,Population,104099452
SIKKIM,Population,610577
ARUNACHAL PRADESH,Population,1383727
NAGALAND,Population,1978502
MANIPUR,Population,2855794
MIZORAM,Population,1097206
TRIPURA,Population,3673917
MEGHALAYA,Population,2966889
ASSAM,Population,31205576
WEST BENGAL,Population,91276115
JHARKHAND,Population,32988134
ORISSA,Population,41974218
CHHATTISGARH,Population,25545198
MADHYA PRADESH,Population,72626809
GUJARAT,Population,60439692
MAHARASHTRA,Population,112374333
ANDHRA PRADESH,Population,84580777
KARNATAKA,Population,61095297
KERALA,Population,33406061
TAMIL NADU,Population,72147030
ANDAMAN AND NICOBAR ISLANDS,Population,380581
NCT OF DELHI,Population,16787941
DADRA AND NAGAR HAVELI,Population,586956
GOA,Population,1458545
PONDICHERRY,Population,1247953
